Extension,Files Count,Total Size (KB),Min Size (KB),Max Size (KB),Avg Size (KB),Total Lines,Min Lines,Max Lines,Avg Lines,Code Lines
cmd,1,6.91,6.91,6.91,6.91,149,149,149,149,127
css,3,23.47,0.00,18.91,7.82,904,0,668,301,689
csv,5,1482.32,0.81,1040.48,296.46,11024,16,6524,2204,11022
html,6,28.42,2.50,10.06,4.74,659,64,219,109,500
java,33,84.81,0.33,12.16,2.57,2188,12,307,66,1677
js,12,55.81,1.58,12.45,4.65,1492,59,335,124,1047
json,6,11.21,1.04,2.74,1.87,463,42,114,77,463
md,5,12.07,1.03,5.24,2.41,271,21,118,54,181
properties,2,0.99,0.04,0.95,0.50,20,1,19,10,4
py,1,3.83,3.83,3.83,3.83,122,122,122,122,58
xml,2,4.35,1.70,2.65,2.17,138,36,102,69,114
yml,3,1.22,0.09,1.04,0.41,51,7,37,17,34

Total Statistics:
Total,79,1715.39,19.85,1117.40,334.34,17481,529,8714,3302,null
